#separator:comma
#html:true
#deck column:1
#tags column:10
JLPT (N1~N5)::N1::N1扩展,相容れない,,連語,[sound:googletts-ce8631a6-c4ec15e4-aa56881e-2d98adb3-7c2a5ba1.mp3],あいいれない,互不两立,［例］〜関係／互不两立的关系,N1,N1 N1扩展
JLPT (N1~N5)::N1::N1扩展,相方,⓪,名,[sound:googletts-a1afd425-a6556ca2-51d22653-f7e57a22-0e50f55a.mp3],あいかた,（特指日本相声等的）搭档；（年轻人用语）恋人，配偶,［例］漫才（まんざい）の〜／相声的搭档,N1,N1 N1扩展
JLPT (N1~N5)::N2::N2核心,相変わらず,⓪,副,[sound:googletts-7234ed1b-1f51e4c3-79fec8f4-2990ffe8-aab4d04d.mp3],あいかわらず,依然，照旧,［例］〜忙しい／每天还是很忙<br>［類］依然として（いぜんとして）／依然，依旧,N2,N2 N2核心
JLPT (N1~N5)::N1::N1扩展,愛嬌,③,名,[sound:googletts-f35f3f24-f76647a6-4c8db496-bb86f3b9-eabed0a8.mp3],あいきょう,可爱之处，魅力；好感，亲切,［例］〜を振りまく／献殷勤，讨好别人,N1,N1 N1扩展
JLPT (N1~N5)::N1::N1扩展,愛くるしい,⑤,イ形,[sound:googletts-18f35249-0967cb45-ba45e0c9-1a1e11c5-6bebea28.mp3],あいくるしい,非常可爱的,［例］〜顔／可爱的脸蛋,N1,N1 N1扩展
JLPT (N1~N5)::N1::N1扩展,愛顧,①,名・他動3,[sound:googletts-3632f949-b042ec9a-82474186-8451c8da-9d0e2262.mp3],あいこ,光顾，惠顾,［例］長らくご〜いただきました／感谢您的长期惠顾,N1,N1 N1扩展
JLPT (N1~N5)::N2::N2扩展,相性,③,名,[sound:googletts-8b378596-0ee32195-229777d7-0498df1e-3d9ad843.mp3],あいしょう,合得来，性情相投；（电脑等）兼容性,［例］〜がいい／投缘,N1,N2 N2扩展
JLPT (N1~N5)::N3::N3核心,合図,①,名・自他動3,[sound:googletts-0e342c39-04fa1611-4768efd3-27c062d8-5a31a434.mp3],あいず,信号，暗号,［例］ 目[め]で〜する／用眼神传达信号,N3,N3 N3核心
JLPT (N1~N5)::N3::N3核心,愛する,③,他動3,[sound:azure-2fa07934-74a5a704-0ac8953e-c929f7e9-6683f410.mp3],あいする,喜爱；爱好,［例］子どもを〜／疼爱孩子,N3,N3 N3核心
JLPT (N1~N5)::N1::N1扩展,相席,⓪,名・自動3,[sound:googletts-876bc8db-0ef77c95-d284a0a3-e4bc60a8-f7cda4ed.mp3],あいせき,（在餐厅）拼桌,［例］ご〜をお願いします／麻烦您与其他客人拼桌,N1,N1 N1扩展
JLPT (N1~N5)::N1::N1核心,愛想,③,名,[sound:azure-7b34b138-9da0804e-5e7b9bde-233aa06e-033ea271.mp3],あいそう,亲切，和蔼,［例］〜がいい／待人亲切,N1,N1 N1核心
JLPT (N1~N5)::N1::N1核心,間柄,⓪,名,[sound:googletts-fd7f5d28-ffffafc3-e0baeef3-57412e73-2169e905.mp3],あいだがら,关系,［例］親しい〜／亲密的关系<br>［類］仲／关系，交情,N1,N1 N1核心
JLPT (N1~N5)::N2::N2扩展,相次いで,①,副,[sound:googletts-8aa25a0b-a5950520-07d8613d-07d16b56-11e59913.mp3],あいついで,相继，陆续,［例］〜登場する／相继出场,N2,N2 N2扩展
JLPT (N1~N5)::N1::N1扩展,相次ぐ,①,自動1,[sound:googletts-a7f38f9b-c59fffa8-b710b39a-138f844f-d3e256a3.mp3],あいつぐ,接连不断,［例］事故が〜／接连发生事故,N1,N1 N1扩展
JLPT (N1~N5)::N2::N2扩展,相槌,⓪③,名,[sound:googletts-79b4983c-db7cd513-a3f294f6-8f79723a-cf84d9f5.mp3],あいづち,随声附和，帮腔,［慣］〜を打（う）つ／随声附和,N2,N2 N2扩展
JLPT (N1~N5)::N1::N1扩展,相手取る,④,他動1,[sound:hypertts-3b1d9a572f4f2c5a2a1455b4ff30ea28a78ccf8709e99193e8a65371.mp3],あいてどる,以……为对手争执,［例］国を相手取って訴訟（そしょう）を起こす／起诉国家,N1,N1 N1扩展
JLPT (N1~N5)::N1::N1扩展,アイドル,①,名,[sound:googletts-e8076db3-cecc0410-f089b6bc-758a2a5a-e67dc0dc.mp3],(英) idol,偶像,［例］〜歌手 ／（年轻人的）偶像歌星，偶像派歌手,N1,N1 N1扩展
JLPT (N1~N5)::N1::N1核心,合間,⓪,名,[sound:googletts-16b707e8-55c99c8d-7080a704-a36d7026-d5b7a3eb.mp3],あいま,空闲时间，余暇,［例］仕事の〜を縫（ぬ）ってコンサートに出かける／利用工作的余暇去听音乐会,N1,N1 N1核心
JLPT (N1~N5)::N3::N3核心,アイロン,⓪,名,[sound:hypertts-fe47b7697bbd3154796a1c5b9c48a180108c5945b41c099ff0bf9d8e.mp3],(英) iron,熨斗,［例］〜をかける／熨衣服,N3,N3 N3核心
JLPT (N1~N5)::N3::N3核心,アウト,①,名,[sound:azure-63ccea0c-9f8304e8-67b688e0-f6fdb47c-341b8ab7.mp3],(英) out,外部；出界，出局,［対］イン／内部；界内球,N3,N3 N3核心
JLPT (N1~N5)::N1::N1核心,あえて,①,副,[sound:googletts-6c196e71-8250430b-2724f982-68f5df85-ac7ca6ba.mp3],あえて,敢于；并（不）,［例］〜危険を冒す／铤而走险,N1,N1 N1核心
JLPT (N1~N5)::N2::N2核心,扇ぐ,②,他動1,[sound:googletts-6b09f85c-925904a0-eddd7b6a-6a5e2f5a-83dc96f6.mp3],あおぐ,扇风，使起风,［例］扇子（せんす）で〜／用扇子扇风,N2,N2 N2核心
JLPT (N1~N5)::N1::N1核心,仰ぐ,②,自他動1,[sound:googletts-ec72d910-50a92bad-e2506942-22a7ae61-e44588f8.mp3],あおぐ,仰，瞻；尊为；仰赖；请示；饮，服,［例］指示（しじ）を〜／请求指示,N1,N1 N1核心
JLPT (N1~N5)::N1::N1扩展,青写真,③⓪,名,[sound:googletts-71386a0e-45689344-8ac1e062-c40ceb84-12ecd7b7.mp3],あおじゃしん,蓝图；初步计划,［例］再建（さいけん）の〜を作る／制作重建的蓝图,N1,N1 N1扩展
JLPT (N1~N5)::N2::N2核心,青白い,⓪④,イ形,[sound:googletts-3172719f-17a234b0-09f0ad87-f77c3b23-9e18bdbb.mp3],あおじろい,青白色的；苍白的,［例］〜月の光／青（银）白色的月光,N2,N2 N2核心
JLPT (N1~N5)::N1::N1扩展,青二才,③,名,[sound:googletts-9afb0b60-45cdebf4-864466d4-045e44c2-cfebc407.mp3],あおにさい,小毛孩儿,［例］〜のくせに生意気を言うな／一个小毛孩子别狂妄自大！,N1,N1 N1扩展
JLPT (N1~N5)::N1::N1扩展,仰向け,⓪,名,[sound:googletts-dc33ae3c-5fe5603d-85ce55aa-d8910840-89711c35.mp3],あおむけ,仰面朝天,［対］うつ伏せ（うつぶせ）／脸朝下俯卧,N1,N1 N1扩展
JLPT (N1~N5)::N1::N1核心,垢,②,名,[sound:googletts-35dd82e3-6f1526f6-243d3cef-e7491e5e-3d3be073.mp3],あか,污垢,［例］〜が抜ける／不土气，脱俗,N1,N1 N1核心
JLPT (N1~N5)::N1::N1核心,証,⓪,名,[sound:hypertts-6a4f31e7c7c8b85219f68258fff09bd67873ddac38459da6333168ee.mp3],あかし,证明,［例］愛の〜／爱的见证,N1,N1 N1核心
JLPT (N1~N5)::N1::N1核心,明かす,⓪,他動1,[sound:googletts-36cc4c13-cab3d8fb-95a5af94-0bcdd3d3-7315e3fd.mp3],あかす,揭露,［例］秘密を〜／揭露秘密,N1,N1 N1核心
JLPT (N1~N5)::N1::N1扩展,暁,⓪,名,[sound:googletts-921cf509-c0845816-aea8832a-ce006fbe-d353bb26.mp3],あかつき,黎明时分,［例］〜を告げる鶏鳴（けいめい）／报晓的鸡鸣,N1,N1 N1扩展
JLPT (N1~N5)::N1::N1扩展,アカデミック,④,ナ形,[sound:googletts-fc313fba-b47ee9d0-6c49e6aa-5b8620dd-da0d7003.mp3],(英) academic,学术的；墨守成规的,［例］〜な雰囲気／学术氛围,N1,N1 N1扩展
JLPT (N1~N5)::N1::N1核心,赤らむ,③,自動1,[sound:hypertts-eac653967e9e895d04fc4c6e4f4e836ef31773a539ef5501d9bdac22.mp3],あからむ,发红；脸红,［例］顔が〜／脸红,N1,N1 N1核心
